image,AlbumName,ArtistName
https://i.scdn.co/image/ab67616d0000b2737e0698e1398b6473de43f901,The Life of a Showgirl,Taylor Swift
https://i.scdn.co/image/ab67616d0000b273bbd45c8d36e0e045ef640411,Debí Tirar Más Fotos,Bad Bunny
https://i.scdn.co/image/ab67616d0000b273b0860cf0a98e09663c82290c,Mayhem,Lady Gaga
https://i.scdn.co/image/ab67616d0000b27345e82ae0372a50834825c018,Getting Killed,Geese
https://i.scdn.co/image/ab67616d0000b2732a6a5bd7ec690d91a384245d,Illegal,PinkPanthress
https://i.scdn.co/image/ab67616d0000b273b1863bf95557ea7f357c4947,Man's Best Friend,Sabrina Carpenter
https://i.scdn.co/image/ab67616d0000b2739bee596da8e3f67a3ce6e7d7,Iconoclasts,Anna von Hausswolff 
https://i.scdn.co/image/ab67616d0000b2732d6593b104370f20fc943386,hooke's law,keiyaA
https://i.scdn.co/image/ab67616d0000b2730b96f8824100aab118792442,The Subway,Chappell Roan
https://i.scdn.co/image/ab67616d0000b273b18bc4ae967963386185b437,SMO,Amaarae 